a,n,x,y,z,r,c
2,Inner,20.3167,-711.242,12640.4,14,32
2,Inner,60.95,-711.242,12640.4,14,33
2,Inner,101.583,-711.242,12640.4,14,34
2,Inner,142.217,-711.242,12640.4,14,35
2,Inner,182.85,-711.242,12640.4,14,36
2,Inner,223.483,-711.242,12640.4,14,37
2,Inner,264.117,-711.242,12640.4,14,38
2,Inner,304.75,-711.242,12640.4,14,39
2,Inner,345.383,-711.242,12640.4,14,40
2,Inner,386.017,-711.242,12640.4,14,41
2,Inner,426.65,-711.242,12640.4,14,42
2,Inner,467.283,-711.242,12640.4,14,43
2,Inner,507.917,-711.242,12640.4,14,44
2,Inner,548.55,-711.242,12640.4,14,45
2,Inner,589.183,-711.242,12640.4,14,46
2,Inner,629.817,-711.242,12640.4,14,47
2,Inner,670.45,-711.242,12640.4,14,48
2,Inner,711.083,-711.242,12640.4,14,49
2,Inner,751.717,-711.242,12640.4,14,50
2,Inner,792.35,-711.242,12640.4,14,51
2,Inner,832.983,-711.242,12640.4,14,52
2,Inner,873.617,-711.242,12640.4,14,53
2,Inner,914.25,-711.242,12640.4,14,54
2,Inner,954.883,-711.242,12640.4,14,55
2,Inner,20.3167,-670.609,12640.6,15,32
2,Inner,60.95,-670.609,12640.6,15,33
2,Inner,101.583,-670.609,12640.6,15,34
2,Inner,142.217,-670.609,12640.6,15,35
2,Inner,182.85,-670.609,12640.6,15,36
2,Inner,223.483,-670.609,12640.6,15,37
2,Inner,264.117,-670.609,12640.6,15,38
2,Inner,304.75,-670.609,12640.6,15,39
2,Inner,345.383,-670.609,12640.6,15,40
2,Inner,386.017,-670.609,12640.6,15,41
2,Inner,426.65,-670.609,12640.6,15,42
2,Inner,467.283,-670.609,12640.6,15,43
2,Inner,507.917,-670.609,12640.6,15,44
2,Inner,548.55,-670.609,12640.6,15,45
2,Inner,589.183,-670.609,12640.6,15,46
2,Inner,629.817,-670.609,12640.6,15,47
2,Inner,670.45,-670.609,12640.6,15,48
2,Inner,711.083,-670.609,12640.6,15,49
2,Inner,751.717,-670.609,12640.6,15,50
2,Inner,792.35,-670.609,12640.6,15,51
2,Inner,832.983,-670.609,12640.6,15,52
2,Inner,873.617,-670.609,12640.6,15,53
2,Inner,914.25,-670.609,12640.6,15,54
2,Inner,954.883,-670.609,12640.6,15,55
2,Inner,20.3167,-629.975,12640.7,16,32
2,Inner,60.95,-629.975,12640.7,16,33
2,Inner,101.583,-629.975,12640.7,16,34
2,Inner,142.217,-629.975,12640.7,16,35
2,Inner,182.85,-629.975,12640.7,16,36
2,Inner,223.483,-629.975,12640.7,16,37
2,Inner,264.117,-629.975,12640.7,16,38
2,Inner,304.75,-629.975,12640.7,16,39
2,Inner,345.383,-629.975,12640.7,16,40
2,Inner,386.017,-629.975,12640.7,16,41
2,Inner,426.65,-629.975,12640.7,16,42
2,Inner,467.283,-629.975,12640.7,16,43
2,Inner,507.917,-629.975,12640.7,16,44
2,Inner,548.55,-629.975,12640.7,16,45
2,Inner,589.183,-629.975,12640.7,16,46
2,Inner,629.817,-629.975,12640.7,16,47
2,Inner,670.45,-629.975,12640.7,16,48
2,Inner,711.083,-629.975,12640.7,16,49
2,Inner,751.717,-629.975,12640.7,16,50
2,Inner,792.35,-629.975,12640.7,16,51
2,Inner,832.983,-629.975,12640.7,16,52
2,Inner,873.617,-629.975,12640.7,16,53
2,Inner,914.25,-629.975,12640.7,16,54
2,Inner,954.883,-629.975,12640.7,16,55
2,Inner,20.3167,-589.342,12640.9,17,32
2,Inner,60.95,-589.342,12640.9,17,33
2,Inner,101.583,-589.342,12640.9,17,34
2,Inner,142.217,-589.342,12640.9,17,35
2,Inner,182.85,-589.342,12640.9,17,36
2,Inner,223.483,-589.342,12640.9,17,37
2,Inner,264.117,-589.342,12640.9,17,38
2,Inner,304.75,-589.342,12640.9,17,39
2,Inner,345.383,-589.342,12640.9,17,40
