runid,fillid,starttime
299857,9849,2024-07-02 02:06:51+00:00
299856,9849,2024-07-02 01:22:20+00:00
299855,9849,2024-07-02 01:13:01+00:00
299854,9849,2024-07-02 01:11:41+00:00
299853,9849,2024-07-02 01:06:42+00:00
299852,9849,2024-07-02 01:02:55+00:00
299851,9849,2024-07-02 00:02:47+00:00
299850,9849,2024-07-01 23:19:12+00:00
299849,9849,2024-07-01 23:18:32+00:00
299848,9849,2024-07-01 22:55:10+00:00
299847,9849,2024-07-01 22:31:25+00:00
299846,9849,2024-07-01 22:18:12+00:00
299845,9849,2024-07-01 22:15:05+00:00
299844,9849,2024-07-01 22:07:06+00:00
299843,9849,2024-07-01 22:03:28+00:00
299842,9849,2024-07-01 22:03:09+00:00
299841,9849,2024-07-01 21:59:06+00:00
299840,9849,2024-07-01 21:20:32+00:00
299839,9849,2024-07-01 21:17:42+00:00
299838,9849,2024-07-01 21:16:24+00:00
299833,9848,2024-07-01 19:23:00+00:00
299832,9848,2024-07-01 18:43:15+00:00
299831,9848,2024-07-01 18:29:59+00:00
299830,9848,2024-07-01 18:22:25+00:00
299829,9848,2024-07-01 18:04:47+00:00
299828,9848,2024-07-01 17:57:20+00:00
299827,9848,2024-07-01 17:33:35+00:00
299826,9848,2024-07-01 17:31:45+00:00
299825,9848,2024-07-01 17:31:04+00:00
299824,9848,2024-07-01 17:30:01+00:00
299823,9848,2024-07-01 17:29:20+00:00
299822,9848,2024-07-01 17:28:38+00:00
299821,9848,2024-07-01 17:27:48+00:00
299820,9848,2024-07-01 17:14:03+00:00
299818,9848,2024-07-01 16:50:14+00:00
299817,9848,2024-07-01 16:42:57+00:00
299816,9848,2024-07-01 16:40:40+00:00
299814,9848,2024-07-01 16:02:29+00:00
299813,9848,2024-07-01 15:59:17+00:00
299812,9848,2024-07-01 15:39:20+00:00
299811,9848,2024-07-01 15:36:26+00:00
299810,9848,2024-07-01 15:12:22+00:00
299809,9848,2024-07-01 15:09:12+00:00
299807,9848,2024-07-01 15:01:42+00:00
299806,9848,2024-07-01 14:58:53+00:00
299805,9848,2024-07-01 14:57:43+00:00
299804,9848,2024-07-01 14:52:32+00:00
299803,9848,2024-07-01 14:50:19+00:00
299802,9848,2024-07-01 14:46:45+00:00
299801,9848,2024-07-01 14:41:58+00:00
299799,9848,2024-07-01 14:00:58+00:00
299783,9846,2024-07-01 09:37:20+00:00
299782,9846,2024-07-01 09:36:39+00:00
299781,9846,2024-07-01 09:33:56+00:00
299780,9846,2024-07-01 09:10:34+00:00
299779,9846,2024-07-01 09:08:00+00:00
299777,9846,2024-07-01 09:04:39+00:00
299776,9846,2024-07-01 09:03:50+00:00
299775,9846,2024-07-01 08:54:18+00:00
299774,9846,2024-07-01 08:51:00+00:00
299773,9846,2024-07-01 08:42:54+00:00
299772,9846,2024-07-01 08:42:11+00:00
299771,9846,2024-07-01 08:39:04+00:00
299770,9846,2024-07-01 08:37:50+00:00
299769,9846,2024-07-01 08:23:36+00:00
299768,9846,2024-07-01 08:20:51+00:00
299767,9846,2024-07-01 08:11:18+00:00
299766,9846,2024-07-01 08:10:17+00:00
299764,9846,
299763,9846,2024-07-01 08:01:10+00:00
299762,9846,2024-07-01 07:47:33+00:00
299761,9846,2024-07-01 07:43:37+00:00
299760,9846,2024-07-01 07:37:38+00:00
299759,9846,2024-07-01 07:12:32+00:00
299757,9846,2024-07-01 06:54:25+00:00
299741,9843,2024-07-01 00:05:46+00:00
299739,9843,2024-06-30 23:56:23+00:00
299738,9843,2024-06-30 23:47:39+00:00
299737,9843,2024-06-30 23:43:37+00:00
299736,9843,2024-06-30 23:42:19+00:00
299735,9843,2024-06-30 23:41:39+00:00
299734,9843,2024-06-30 23:36:44+00:00
299732,9843,2024-06-30 23:04:37+00:00
299731,9843,2024-06-30 23:01:41+00:00
299730,9843,2024-06-30 23:00:50+00:00
299729,9843,2024-06-30 22:57:45+00:00
299728,9843,2024-06-30 22:54:03+00:00
299727,9843,2024-06-30 22:37:22+00:00
299726,9843,2024-06-30 22:17:12+00:00
299725,9843,
299724,9843,
299722,9843,2024-06-30 22:00:25+00:00
299721,9843,2024-06-30 21:56:29+00:00
299720,9843,2024-06-30 21:48:13+00:00
299719,9843,2024-06-30 21:30:30+00:00
299717,9843,2024-06-30 21:00:22+00:00
299716,9843,2024-06-30 20:59:04+00:00
