    BUNCHCROSSING_ID                                                                                    UShort_t                                
    BUNCHCROSSING_TYPE                                                                                  UChar_t                                 
    B_ALV                                                                                               Float_t                                 
    B_ALV12                                                                                             Float_t                                 
    B_BPVCHI2DOF                                                                                        Double_t                                
    B_BPVCORRM                                                                                          Float_t                                 
    B_BPVCORRMERR                                                                                       Float_t                                 
    B_BPVDIRA                                                                                           Float_t                                 
    B_BPVDLS                                                                                            Float_t                                 
    B_BPVETA                                                                                            Float_t                                 
    B_BPVFD                                                                                             Float_t                                 
    B_BPVFDCHI2                                                                                         Float_t                                 
    B_BPVFDIRX                                                                                          Double_t                                
    B_BPVFDIRY                                                                                          Double_t                                
    B_BPVFDIRZ                                                                                          Double_t                                
    B_BPVFDVECX                                                                                         Double_t                                
    B_BPVFDVECY                                                                                         Double_t                                
    B_BPVFDVECZ                                                                                         Double_t                                
    B_BPVIP                                                                                             Float_t                                 
    B_BPVIPCHI2                                                                                         Float_t                                 
    B_BPVLTIME                                                                                          Float_t                                 
    B_BPVVDRHO                                                                                          Float_t                                 
    B_BPVVDZ                                                                                            Float_t                                 
    B_BPVX                                                                                              Float_t                                 
    B_BPVY                                                                                              Float_t                                 
    B_BPVZ                                                                                              Float_t                                 
    B_CHI2                                                                                              Double_t                                
    B_CHI2DOF                                                                                           Double_t                                
    B_DIRA_OWNPV                                                                                        Float_t                                 
    B_DOCA12                                                                                            Double_t                                
    B_DOCACHI2_12                                                                                       Double_t                                
    B_DTF_CHI2                                                                                          Double_t                                
    B_DTF_CHI2DOF                                                                                       Double_t                                
    B_DTF_CTAU                                                                                          Double_t                                
    B_DTF_CTAUERR                                                                                       Double_t                                
    B_DTF_EE2KK_CHI2                                                                                    Double_t                                
    B_DTF_EE2KK_CHI2DOF                                                                                 Double_t                                
    B_DTF_EE2KK_CTAU                                                                                    Double_t                                
    B_DTF_EE2KK_CTAUERR                                                                                 Double_t                                
    B_DTF_EE2KK_FD                                                                                      Double_t                                
    B_DTF_EE2KK_FDERR                                                                                   Double_t                                
    B_DTF_EE2KK_MASS                                                                                    Double_t                                
    B_DTF_EE2KK_MASSERR                                                                                 Double_t                                
    B_DTF_EE2KK_NDOF                                                                                    Int_t                                   
    B_DTF_EE2KK_NITER                                                                                   Int_t                                   
    B_DTF_EE2KK_P                                                                                       Double_t                                
    B_DTF_EE2KK_PE                                                                                      Float_t                                 
    B_DTF_EE2KK_PERR                                                                                    Double_t                                
    B_DTF_EE2KK_PX                                                                                      Float_t                                 
    B_DTF_EE2KK_PY                                                                                      Float_t                                 
    B_DTF_EE2KK_PZ                                                                                      Float_t                                 
    B_DTF_EE2KPi_CHI2                                                                                   Double_t                                
    B_DTF_EE2KPi_CHI2DOF                                                                                Double_t                                
    B_DTF_EE2KPi_CTAU                                                                                   Double_t                                
    B_DTF_EE2KPi_CTAUERR                                                                                Double_t                                
    B_DTF_EE2KPi_FD                                                                                     Double_t                                
    B_DTF_EE2KPi_FDERR                                                                                  Double_t                                
    B_DTF_EE2KPi_MASS                                                                                   Double_t                                
