i,x,y,r,c
EcalLeftInnRegion,-1767.55,-1279.95,0,0
EcalLeftInnRegion,-1726.92,-1279.95,0,1
EcalLeftInnRegion,-1686.28,-1279.95,0,2
EcalLeftInnRegion,-1645.65,-1279.95,0,3
EcalLeftInnRegion,-1605.02,-1279.95,0,4
EcalLeftInnRegion,-1564.38,-1279.95,0,5
EcalLeftInnRegion,-1523.75,-1279.95,0,6
EcalLeftInnRegion,-1483.12,-1279.95,0,7
EcalLeftInnRegion,-1442.48,-1279.95,0,8
EcalLeftInnRegion,-1401.85,-1279.95,0,9
EcalLeftInnRegion,-1361.22,-1279.95,0,10
EcalLeftInnRegion,-1320.58,-1279.95,0,11
EcalLeftInnRegion,-1279.95,-1279.95,0,12
EcalLeftInnRegion,-1239.32,-1279.95,0,13
EcalLeftInnRegion,-1198.68,-1279.95,0,14
EcalLeftInnRegion,-1158.05,-1279.95,0,15
EcalLeftInnRegion,-1117.42,-1279.95,0,16
EcalLeftInnRegion,-1076.78,-1279.95,0,17
EcalLeftInnRegion,-1036.15,-1279.95,0,18
EcalLeftInnRegion,-995.517,-1279.95,0,19
EcalLeftInnRegion,-954.883,-1279.95,0,20
EcalLeftInnRegion,-914.25,-1279.95,0,21
EcalLeftInnRegion,-873.617,-1279.95,0,22
EcalLeftInnRegion,-832.983,-1279.95,0,23
EcalLeftInnRegion,-792.35,-1279.95,0,24
EcalLeftInnRegion,-751.717,-1279.95,0,25
EcalLeftInnRegion,-711.083,-1279.95,0,26
EcalLeftInnRegion,-670.45,-1279.95,0,27
EcalLeftInnRegion,-629.817,-1279.95,0,28
EcalLeftInnRegion,-589.183,-1279.95,0,29
EcalLeftInnRegion,-548.55,-1279.95,0,30
EcalLeftInnRegion,-507.917,-1279.95,0,31
EcalLeftInnRegion,-467.283,-1279.95,0,32
EcalLeftInnRegion,-426.65,-1279.95,0,33
EcalLeftInnRegion,-386.017,-1279.95,0,34
EcalLeftInnRegion,-345.383,-1279.95,0,35
EcalLeftInnRegion,-304.75,-1279.95,0,36
EcalLeftInnRegion,-264.117,-1279.95,0,37
EcalLeftInnRegion,-223.483,-1279.95,0,38
EcalLeftInnRegion,-182.85,-1279.95,0,39
EcalLeftInnRegion,-142.217,-1279.95,0,40
EcalLeftInnRegion,-101.583,-1279.95,0,41
EcalLeftInnRegion,-60.95,-1279.95,0,42
EcalLeftInnRegion,-20.3167,-1279.95,0,43
EcalLeftInnRegion,20.3167,-1279.95,0,44
EcalLeftInnRegion,60.95,-1279.95,0,45
EcalLeftInnRegion,101.583,-1279.95,0,46
EcalLeftInnRegion,142.217,-1279.95,0,47
EcalLeftInnRegion,182.85,-1279.95,0,48
EcalLeftInnRegion,223.483,-1279.95,0,49
EcalLeftInnRegion,264.117,-1279.95,0,50
EcalLeftInnRegion,304.75,-1279.95,0,51
EcalLeftInnRegion,345.383,-1279.95,0,52
EcalLeftInnRegion,386.017,-1279.95,0,53
EcalLeftInnRegion,426.65,-1279.95,0,54
EcalLeftInnRegion,467.283,-1279.95,0,55
EcalLeftInnRegion,507.917,-1279.95,0,56
EcalLeftInnRegion,548.55,-1279.95,0,57
EcalLeftInnRegion,589.183,-1279.95,0,58
EcalLeftInnRegion,629.817,-1279.95,0,59
EcalLeftInnRegion,670.45,-1279.95,0,60
EcalLeftInnRegion,711.083,-1279.95,0,61
EcalLeftInnRegion,751.717,-1279.95,0,62
EcalLeftInnRegion,792.35,-1279.95,0,63
EcalLeftInnRegion,-1767.55,-1239.32,1,0
EcalLeftInnRegion,-1726.92,-1239.32,1,1
EcalLeftInnRegion,-1686.28,-1239.32,1,2
EcalLeftInnRegion,-1645.65,-1239.32,1,3
EcalLeftInnRegion,-1605.02,-1239.32,1,4
EcalLeftInnRegion,-1564.38,-1239.32,1,5
EcalLeftInnRegion,-1523.75,-1239.32,1,6
EcalLeftInnRegion,-1483.12,-1239.32,1,7
EcalLeftInnRegion,-1442.48,-1239.32,1,8
EcalLeftInnRegion,-1401.85,-1239.32,1,9
EcalLeftInnRegion,-1361.22,-1239.32,1,10
EcalLeftInnRegion,-1320.58,-1239.32,1,11
EcalLeftInnRegion,-1279.95,-1239.32,1,12
EcalLeftInnRegion,-1239.32,-1239.32,1,13
EcalLeftInnRegion,-1198.68,-1239.32,1,14
EcalLeftInnRegion,-1158.05,-1239.32,1,15
EcalLeftInnRegion,-1117.42,-1239.32,1,16
EcalLeftInnRegion,-1076.78,-1239.32,1,17
EcalLeftInnRegion,-1036.15,-1239.32,1,18
EcalLeftInnRegion,-995.517,-1239.32,1,19
EcalLeftInnRegion,-954.883,-1239.32,1,20
EcalLeftInnRegion,-914.25,-1239.32,1,21
EcalLeftInnRegion,-873.617,-1239.32,1,22
EcalLeftInnRegion,-832.983,-1239.32,1,23
EcalLeftInnRegion,-792.35,-1239.32,1,24
EcalLeftInnRegion,-751.717,-1239.32,1,25
EcalLeftInnRegion,-711.083,-1239.32,1,26
EcalLeftInnRegion,-670.45,-1239.32,1,27
EcalLeftInnRegion,-629.817,-1239.32,1,28
EcalLeftInnRegion,-589.183,-1239.32,1,29
EcalLeftInnRegion,-548.55,-1239.32,1,30
EcalLeftInnRegion,-507.917,-1239.32,1,31
EcalLeftInnRegion,-467.283,-1239.32,1,32
EcalLeftInnRegion,-426.65,-1239.32,1,33
EcalLeftInnRegion,-386.017,-1239.32,1,34
EcalLeftInnRegion,-345.383,-1239.32,1,35
EcalLeftInnRegion,-304.75,-1239.32,1,36
EcalLeftInnRegion,-264.117,-1239.32,1,37
EcalLeftInnRegion,-223.483,-1239.32,1,38
EcalLeftInnRegion,-182.85,-1239.32,1,39
EcalLeftInnRegion,-142.217,-1239.32,1,40
EcalLeftInnRegion,-101.583,-1239.32,1,41
EcalLeftInnRegion,-60.95,-1239.32,1,42
EcalLeftInnRegion,-20.3167,-1239.32,1,43
EcalLeftInnRegion,20.3167,-1239.32,1,44
EcalLeftInnRegion,60.95,-1239.32,1,45
EcalLeftInnRegion,101.583,-1239.32,1,46
EcalLeftInnRegion,142.217,-1239.32,1,47
EcalLeftInnRegion,182.85,-1239.32,1,48
EcalLeftInnRegion,223.483,-1239.32,1,49
EcalLeftInnRegion,264.117,-1239.32,1,50
EcalLeftInnRegion,304.75,-1239.32,1,51
EcalLeftInnRegion,345.383,-1239.32,1,52
EcalLeftInnRegion,386.017,-1239.32,1,53
EcalLeftInnRegion,426.65,-1239.32,1,54
EcalLeftInnRegion,467.283,-1239.32,1,55
EcalLeftInnRegion,507.917,-1239.32,1,56
EcalLeftInnRegion,548.55,-1239.32,1,57
EcalLeftInnRegion,589.183,-1239.32,1,58
EcalLeftInnRegion,629.817,-1239.32,1,59
EcalLeftInnRegion,670.45,-1239.32,1,60
EcalLeftInnRegion,711.083,-1239.32,1,61
EcalLeftInnRegion,751.717,-1239.32,1,62
EcalLeftInnRegion,792.35,-1239.32,1,63
EcalLeftInnRegion,-1767.55,-1198.68,2,0
EcalLeftInnRegion,-1726.92,-1198.68,2,1
EcalLeftInnRegion,-1686.28,-1198.68,2,2
EcalLeftInnRegion,-1645.65,-1198.68,2,3
EcalLeftInnRegion,-1605.02,-1198.68,2,4
EcalLeftInnRegion,-1564.38,-1198.68,2,5
EcalLeftInnRegion,-1523.75,-1198.68,2,6
EcalLeftInnRegion,-1483.12,-1198.68,2,7
EcalLeftInnRegion,-1442.48,-1198.68,2,8
EcalLeftInnRegion,-1401.85,-1198.68,2,9
EcalLeftInnRegion,-1361.22,-1198.68,2,10
EcalLeftInnRegion,-1320.58,-1198.68,2,11
EcalLeftInnRegion,-1279.95,-1198.68,2,12
EcalLeftInnRegion,-1239.32,-1198.68,2,13
EcalLeftInnRegion,-1198.68,-1198.68,2,14
EcalLeftInnRegion,-1158.05,-1198.68,2,15
EcalLeftInnRegion,-1117.42,-1198.68,2,16
EcalLeftInnRegion,-1076.78,-1198.68,2,17
EcalLeftInnRegion,-1036.15,-1198.68,2,18
EcalLeftInnRegion,-995.517,-1198.68,2,19
EcalLeftInnRegion,-954.883,-1198.68,2,20
EcalLeftInnRegion,-914.25,-1198.68,2,21
